tract_id,job_totals,gravity
24510150500,3061,6122.0
24510150600,1134,1630.839693657118
24510150701,783,1198.8376885114035
24510150702,228,331.3522402096844
24510150800,830,1253.0485255558378
24510150900,51,102.0
24510151000,668,1336.0
24510151100,385,770.0
24510151200,171,342.0
24510151300,900,1422.576106301233
24510160100,150,191.088054614263
24510160200,392,491.7341293582674
24510160300,1500,1995.6370083291956
24510160400,455,576.1467509906515
24510160500,836,1394.6456264714575
24510160600,972,1304.8832154568827
24510160700,352,556.263518768594
24510160801,138,194.78281465858413
24510160802,36,57.23733469906281
24510170100,10596,14488.279543775869
24510170200,38970,51688.24102652995
24510170300,348,493.6983874577898
24510180300,3080,3992.5811290884058
24510190100,1328,1639.311020240389
24510190200,237,342.7087731185179
24510190300,278,432.5244940271738
24510200100,4284,5842.607493586289
24510200200,896,1433.5346566420972
24510200300,122,196.81032242554988
24510200400,105,210.0
24510200500,905,1810.0
24510200600,792,1584.0
24510200701,418,638.402431097589
24510200702,45,90.0
24510200800,529,1058.0
24510210100,9350,14518.798116360093
24510210200,4219,8438.0
24510220100,28077,38778.495167061694
24510230100,2952,4080.742873224902
24510230200,2862,4017.8516854806885
24510230300,3646,5544.601907083301
24510240100,7094,10659.887815979004
24510240200,9084,12143.859787905156
24510240300,287,574.0
24510240400,5445,8180.794729507546
24510250101,460,726.7038085347922
24510250102,512,808.8529347169862
24510250103,6520,13040.0
24510250203,1530,3060.0
24510250204,97,194.0
24510250205,2304,4608.0
24510250206,3348,6696.0
24510250207,819,1638.0
24510250301,393,786.0
24510250303,657,1314.0
24510250401,447,894.0
24510250402,32,64.0
24510250500,4551,9102.0
24510250600,3900,7800.0
24510260101,906,1375.549860825974
24510260102,418,634.6355870035951
24510260201,830,1660.0
24510260202,294,483.9767260279743
24510260203,584,880.0431627200292
24510260301,531,791.1007220542374
24510260302,735,1026.5760773099705
24510260303,1088,2176.0
24510260401,296,592.0
24510260402,1572,2161.860555602385
24510260403,864,1344.3155865529889
24510260404,5957,11914.0
24510260501,8512,17024.0
24510260604,60,120.0
24510260605,18936,37872.0
24510260700,2091,2832.0834101493365
24510260800,966,1603.4848013213093
24510260900,6891,10085.705158531486
24510261000,822,1138.3675998092892
24510261100,807,1180.0724135434548
24510270101,34,68.0
24510270102,64,128.0
24510270200,915,1830.0
24510270301,481,962.0
24510270302,179,358.0
24510270401,784,1568.0
24510270402,417,834.0
24510270501,837,1674.0
24510270502,394,788.0
24510270600,462,924.0
24510270701,502,896.4980169640087
24510270702,888,1585.837129609641
24510270703,225,450.0
24510270801,150,229.93852262900552
24510270802,556,852.3054572115138
24510270803,2608,5216.0
24510270804,163,326.0
24510270805,569,1138.0
24510270901,432,682.9541097104757
24510270902,2640,5280.0
24510270903,395,790.0
24510271001,88,176.0
24510271002,792,1107.4869654142415
24510271101,520,788.6324685594969
24510271102,2051,4102.0
24510271200,1534,3068.0
24510271300,1521,3042.0
24510271400,1826,2745.273777246738
24510271501,3731,7462.0
24510271503,915,1830.0
24510271600,882,1394.1245841752084
24510271700,6199,12398.0
24510271801,430,691.8212878011299
24510271802,515,1030.0
24510271900,2156,3468.759759300549
24510272003,391,782.0
24510272004,592,955.3760754785849
24510272005,546,781.8066891115939
24510272006,628,1256.0
24510272007,1992,3055.7471952585684
24510280101,4384,8768.0
24510280102,6024,12048.0
24510280200,269,538.0
24510280301,220,440.0
24510280302,20,40.0
24510280401,411,822.0
24510280402,92,184.0
24510280403,708,1416.0
24510280404,290,580.0
24510280500,9561,13623.793699411182
24510280600,5144,6247.1413694763
